COD,PA_UFMUN,Nome_Município,Nome_UF,mes,ano,Procedimento,PA_QTDAPR,PA_IDADE,PA_VALAPR
0,110002,Ariquemes,Rondônia,01,2018,Cirurgia Oncológica,19.0,34.31578947368421,37.21368421052631
1,110002,Ariquemes,Rondônia,01,2020,Cirurgia Oncológica,13.0,32.53846153846154,38.543846153846154
2,110002,Ariquemes,Rondônia,01,2021,Cirurgia Oncológica,17.0,25.529411764705884,37.057647058823534
3,110002,Ariquemes,Rondônia,02,2018,Cirurgia Oncológica,13.0,28.076923076923077,38.45846153846154
4,110002,Ariquemes,Rondônia,02,2020,Cirurgia Oncológica,22.0,39.95454545454545,39.040909090909096
5,110002,Ariquemes,Rondônia,02,2021,Cirurgia Oncológica,15.0,37.93333333333333,36.91866666666667
6,110002,Ariquemes,Rondônia,03,2018,Cirurgia Oncológica,13.0,32.07692307692308,31.49615384615385
7,110002,Ariquemes,Rondônia,03,2020,Cirurgia Oncológica,21.0,40.904761904761905,36.481904761904765
8,110002,Ariquemes,Rondônia,03,2021,Cirurgia Oncológica,19.0,31.94736842105263,37.816842105263156
9,110002,Ariquemes,Rondônia,04,2018,Cirurgia Oncológica,15.0,33.13333333333333,38.843333333333334
10,110002,Ariquemes,Rondônia,04,2020,Cirurgia Oncológica,18.0,33.77777777777778,35.63888888888889
11,110002,Ariquemes,Rondônia,04,2021,Cirurgia Oncológica,19.0,33.526315789473685,32.81684210526316
12,110002,Ariquemes,Rondônia,05,2018,Cirurgia Oncológica,24.0,23.875,36.73333333333334
13,110002,Ariquemes,Rondônia,05,2020,Cirurgia Oncológica,15.0,38.666666666666664,37.19866666666667
14,110002,Ariquemes,Rondônia,05,2021,Cirurgia Oncológica,24.0,33.75,37.26166666666666
15,110002,Ariquemes,Rondônia,06,2018,Cirurgia Oncológica,29.0,39.41379310344828,38.06482758620691
16,110002,Ariquemes,Rondônia,06,2020,Cirurgia Oncológica,21.0,41.19047619047619,37.23142857142858
17,110002,Ariquemes,Rondônia,06,2021,Cirurgia Oncológica,32.0,28.09375,35.2471875
18,110002,Ariquemes,Rondônia,07,2018,Cirurgia Oncológica,23.0,35.130434782608695,38.15913043478261
19,110002,Ariquemes,Rondônia,07,2020,Cirurgia Oncológica,26.0,24.115384615384617,38.70307692307693
20,110002,Ariquemes,Rondônia,08,2018,Cirurgia Oncológica,19.0,27.0,36.76526315789474
21,110002,Ariquemes,Rondônia,08,2020,Cirurgia Oncológica,34.0,27.058823529411764,37.405294117647074
22,110002,Ariquemes,Rondônia,09,2018,Cirurgia Oncológica,14.0,31.0,36.71071428571429
23,110002,Ariquemes,Rondônia,09,2020,Cirurgia Oncológica,19.0,27.789473684210527,38.79263157894737
24,110002,Ariquemes,Rondônia,10,2018,Cirurgia Oncológica,22.0,24.727272727272727,35.797272727272734
25,110002,Ariquemes,Rondônia,10,2020,Cirurgia Oncológica,18.0,29.5,33.53444444444445
26,110002,Ariquemes,Rondônia,11,2018,Cirurgia Oncológica,28.0,30.5,35.08642857142858
27,110002,Ariquemes,Rondônia,11,2020,Cirurgia Oncológica,30.0,31.433333333333334,35.08133333333333
28,110002,Ariquemes,Rondônia,12,2018,Cirurgia Oncológica,30.0,33.666666666666664,36.01066666666667
29,110002,Ariquemes,Rondônia,12,2020,Cirurgia Oncológica,23.0,35.43478260869565,37.548260869565226
30,110004,Cacoal,Rondônia,01,2018,Cirurgia Oncológica,59.0,24.71186440677966,28.42000000000002
31,110004,Cacoal,Rondônia,01,2018,Quimioterapia,506.0,61.900188323917135,518.1524858757061
32,110004,Cacoal,Rondônia,01,2018,Radioterapia,3697.0,59.76948051948052,460.41883116883116
33,110004,Cacoal,Rondônia,01,2020,Cirurgia Oncológica,82.0,29.9375,31.513750000000023
34,110004,Cacoal,Rondônia,01,2020,"Diagnósticos: biopsia, mamografia",1.0,69.0,200.0
35,110004,Cacoal,Rondônia,01,2020,Quimioterapia,593.0,62.31647634584013,479.05471451875985
36,110004,Cacoal,Rondônia,01,2020,Radioterapia,32.0,61.32258064516129,4970.387096774193
37,110004,Cacoal,Rondônia,01,2021,Cirurgia Oncológica,118.0,30.704545454545453,39.10193181818185
38,110004,Cacoal,Rondônia,01,2021,Quimioterapia,576.0,61.3453125,461.9614218750001
39,110004,Cacoal,Rondônia,01,2021,Radioterapia,24.0,60.34782608695652,4453.260869565217
40,110004,Cacoal,Rondônia,02,2018,Cirurgia Oncológica,62.0,31.306451612903224,28.420000000000023
41,110004,Cacoal,Rondônia,02,2018,Quimioterapia,509.0,61.77859778597786,527.7401476014759
42,110004,Cacoal,Rondônia,02,2018,Radioterapia,4525.0,62.02739726027397,577.5582191780821
43,110004,Cacoal,Rondônia,02,2020,Cirurgia Oncológica,103.0,54.86666666666667,37.46644444444448
44,110004,Cacoal,Rondônia,02,2020,"Diagnósticos: biopsia, mamografia",1.0,68.0,200.0
45,110004,Cacoal,Rondônia,02,2020,Quimioterapia,594.0,62.46106870229008,456.45180152671736
46,110004,Cacoal,Rondônia,02,2020,Radioterapia,27.0,65.70370370370371,3724.703703703704
47,110004,Cacoal,Rondônia,02,2021,Cirurgia Oncológica,102.0,28.023809523809526,37.009880952380975
48,110004,Cacoal,Rondônia,02,2021,Quimioterapia,598.0,61.33634992458522,475.79292609351444
49,110004,Cacoal,Rondônia,02,2021,Radioterapia,27.0,63.04347826086956,4314.869565217391
50,110004,Cacoal,Rondônia,03,2018,Cirurgia Oncológica,67.0,25.671641791044777,28.420000000000027
51,110004,Cacoal,Rondônia,03,2018,Quimioterapia,514.0,61.11524163568773,539.699182156134
52,110004,Cacoal,Rondônia,03,2018,Radioterapia,5025.0,62.21551724137931,545.3045977011494
53,110004,Cacoal,Rondônia,03,2020,Cirurgia Oncológica,113.0,46.755102040816325,38.244183673469415
54,110004,Cacoal,Rondônia,03,2020,Quimioterapia,597.0,61.96965317919075,461.6362138728326
55,110004,Cacoal,Rondônia,03,2020,Radioterapia,37.0,58.08108108108108,4138.1621621621625
56,110004,Cacoal,Rondônia,03,2021,Cirurgia Oncológica,23.0,32.65217391304348,38.429565217391314
57,110004,Cacoal,Rondônia,03,2021,Quimioterapia,615.0,61.09563994374121,453.35697609001454
58,110004,Cacoal,Rondônia,03,2021,Radioterapia,37.0,57.2,4087.4857142857145
